Brand,Name,ScreenSize,CPU,RAM,HardDisk,DefaultPrice,SalePrice,Link,Website
Asus,Laptop ASUS Gaming ROG Zephyrus G14 GA401QE-K2026T,14,AMD Ryzen 7,16GB,SSD: 1TB,41990000,39490000,https://cellphones.com.vn/laptop-asus-rog-zephyrus-g14-ga401qe-k2026t.html,CellphoneS
Dell,Laptop Dell Vostro 5510 70253901,15.6,Intel Core i5,8GB,SSD: 512GB,22990000,21990000,https://cellphones.com.vn/laptop-dell-vostro-5510-70253901.html,CellphoneS
Dell,Laptop Dell Vostro 5510 70253901,15.6,Intel Core i5,8GB,SSD: 512GB,22990000,21990000,https://cellphones.com.vn/laptop-dell-vostro-5510-70253901.html,CellphoneS
MSI,Laptop MSI Modern 15 A11M,15.6,Intel Core i5,8GB,SSD: 512GB,18990000,18190000,https://cellphones.com.vn/laptop-msi-modern-15-a11m-684vn.html,CellphoneS
Dell,Laptop Dell Inspiron 15 5000 I5502 MFK29,15.6,Intel Core i5,12GB,SSD: 256GB,21990000,20190000,https://cellphones.com.vn/laptop-dell-inspiron-15-5000-i5502-mfk29.html,CellphoneS
Asus,Laptop ASUS VivoBook D515UA-EJ045T,15.6,AMD Ryzen 5,4GB,SSD: 512GB,14290000,13990000,https://cellphones.com.vn/laptop-asus-vivobook-15-d515ua.html,CellphoneS
Asus,Laptop ASUS Gaming ROG Strix G15 G513QC-HN015T,15.6,AMD Ryzen 7,8GB,SSD: 512GB,29990000,26590000,https://cellphones.com.vn/laptop-asus-rog-strix-g15-g513qc-hn015t.html,CellphoneS
Dell,Laptop Dell Inspiron 7306 N7306A,13.3,Intel Core i7,16GB,SSD: 512GB,32990000,30990000,https://cellphones.com.vn/laptop-dell-inspiron-7306-i7-ram-16gb-4k.html,CellphoneS
Asus,Laptop ASUS VivoBook 14 A415EA-EB360T,14,Intel Core i5,8GB,SSD: 512GB,18790000,18290000,https://cellphones.com.vn/laptop-asus-vivobook-14-a415ea.html,CellphoneS
Asus,Laptop ASUS Vivobook  A515EP-BQ630T,15.6,Intel Core i7,8GB,SSD: 512GB,23490000,20990000,https://cellphones.com.vn/laptop-asus-vivobook-a515ep-bq630t.html,CellphoneS
Asus,Laptop ASUS ZenBook UX325EA,13.3,Intel Core i5,8GB,SSD: 256GB,21990000,21690000,https://cellphones.com.vn/laptop-asus-zenbook-13-ux325ea.html,CellphoneS
MSI,Laptop MSI Gaming Alpha 17 B5EEK-031VN,17.3,AMD Ryzen 7,8GB,SSD: 512GB,35490000,32990000,https://cellphones.com.vn/lalptop-msi-gaming-alpha-17-b5eek-031vn.html,CellphoneS
Asus,Laptop ASUS Gaming ROG Strix G15 G513QM-HF389T,15.6,AMD Ryzen 9,16GB,SSD: 512GB,42990000,40490000,https://cellphones.com.vn/laptop-asus-rog-strix-g15-g513qm-hf389t.html,CellphoneS
Asus,Laptop ASUS ROG Strix G17 G713QR-HG073T,17.3,AMD Ryzen 9,16GB,SSD: 1TB,50990000,47890000,https://cellphones.com.vn/laptop-asus-rog-strix-g17-g713qr-hg073t.html,CellphoneS
Lenovo,Laptop Lenovo Ideapad 5 Pro 14ACN6 82l7007XVN,14,AMD Ryzen 5,16GB,SSD: 512GB,22990000,21990000,https://cellphones.com.vn/laptop-lenovo-ideapad-5-pro-14acn6-82l7007xvn.html,CellphoneS
Dell,Laptop Dell Vostro 5410 V4i5214W1,14,Intel Core i5,8GB,SSD: 512GB,23690000,21890000,https://cellphones.com.vn/laptop-dell-vostro-5410-v4i5214w1.html,CellphoneS
Asus,Laptop ASUS TUF Gaming FA706IU-H7133T,17.3,AMD Ryzen 7,8GB,SSD: 512GB,27990000,25590000,https://cellphones.com.vn/laptop-asus-tuf-gaming-a17-fa706iu.html,CellphoneS
Dell,Laptop Dell Vostro 5301 C4VV92,13.3,Intel Core i5,8GB,SSD: 512GB,22690000,22190000,https://cellphones.com.vn/laptop-dell-vostro-5301-i5.html,CellphoneS
Dell,Laptop Dell Gaming G5 5500 P89F003 ,15.6,Intel Core i7,16GB,SSD: 1TB,34990000,33610000,https://cellphones.com.vn/laptop-dell-gaming-g5-15-5500-ram-16gb-ssd-1tb-144hz.html,CellphoneS
Lenovo,Laptop Lenovo V15 G2 ITL,15.6,Intel Core i5,8GB,SSD: 512GB,17990000,16990000,https://cellphones.com.vn/laptop-lenovo-v15-g2-itl-82kb00cwvn.html,CellphoneS
HP,Laptop HP 340S G7 36A37PA,14,Intel Core i7,8GB,SSD: 512GB,21990000,20890000,https://cellphones.com.vn/laptop-hp-340s-g7-36a37pa.html,CellphoneS
